NFORM;nnper;nvj;IDPERV;origen;proposito;VF5;VF6;tiempoviaje;modoprincipal;etapas;VF9;INSE;INSE_RecF;EstratoGeografico;cuadras;codsegorigen;codsegproposito;wcal0
1021;1;5;10210105;6;1;17,3;17,4;10;0;1;4;51;A-;Montevideo Medio;6;122219;112107;267,57973
1022;1;1;10220101;1;13;16;16,3;30;8;1;3;60;A+;Montevideo Medio; ;120131;116037;379,1642397
1022;1;2;10220102;13;1;18,15;18,45;30;8;1;3;60;A+;Montevideo Medio; ;116037;120131;379,1642397
1023;1;1;10230101;1;2;6,3;7,45;75;13;1;2;29;B+;Zona III - Cuenca Cerro Norte NoBajo; ;120003;124202;110,9888526
1023;1;2;10230102;2;2;13;13,25;25;13;2;2;29;B+;Zona III - Cuenca Cerro Norte NoBajo; ;124202;107108;110,9888526
1023;1;3;10230103;2;1;16,3;17,4;70;13;1;2;29;B+;Zona III - Cuenca Cerro Norte NoBajo; ;107108;120003;110,9888526
1023;2;1;10230201;1;5;6,45;7,1;25;13;1;1;29;B+;Zona III - Cuenca Cerro Norte NoBajo; ;120003;120039;110,9888526
1023;2;2;10230202;5;1;12,3;12,55;25;13;1;1;29;B+;Zona III - Cuenca Cerro Norte NoBajo; ;120039;120003;110,9888526
1024;1;1;10240101;1;2;7,3;7,4;10;7;1;1;57;A-;Montevideo Medio; ;121043;120019;600,8422525
1024;1;2;10240102;2;1;17;17,15;15;7;1;1;57;A-;Montevideo Medio; ;120019;121043;600,8422525
1024;2;1;10240201;1;2;8,3;9,1;40;13;2;5;57;A-;Montevideo Medio; ;121043;114112;600,8422525
1024;2;2;10240202;2;1;9,3;10,3;60;13;2;5;57;A-;Montevideo Medio; ;114112;121043;600,8422525
1024;2;3;10240203;1;2;13;13,01;1;0;1;5;57;A-;Montevideo Medio;1;121043;121043;600,8422525
1024;2;4;10240204;2;1;14,14;14,15;1;0;1;5;57;A-;Montevideo Medio;1;121043;121043;600,8422525
1024;3;1;10240301;2;1;6;6,3;30;8;1;2;57;A-;Montevideo Medio; ;122123;121043;600,8422525
1024;4;1;10240401;1;5;8,3;9;30;13;2;3;57;A-;Montevideo Medio; ;121043;123003;600,8422525
1024;4;2;10240402;5;1;11;12;60;13;2;3;57;A-;Montevideo Medio; ;123003;121043;600,8422525
1025;1;1;10250101;1;2;11;11,5;50;13;2;1;23;B+;Montevideo Bajo;9;113012;106104;587,0601537
1025;1;2;10250102;2;1;22;23,05;65;13;2;1;23;B+;Montevideo Bajo;8;106104;113012;587,0601537
1025;2;1;10250201;1;11;7,5;8,05;15;0;1;3;23;B+;Montevideo Bajo;6;113012;113252;587,0601537
1025;2;2;10250202;11;1;8,1;8,18;8;0;1;3;23;B+;Montevideo Bajo;6;113252;113012;587,0601537
1025;2;3;10250203;1;8;12;13;60;13;2;4;23;B+;Montevideo Bajo;7;113012;121236;587,0601537
1025;2;4;10250204;8;13;15;15,3;30;13;2;4;23;B+;Montevideo Bajo;7;121236;113051;587,0601537
1025;2;5;10250205;13;1;19;19,15;15;0;1;1;23;B+;Montevideo Bajo;3;113051;113012;587,0601537
1025;3;1;10250301;1;5;7,1;7,3;20;0;1;1;23;B+;Montevideo Bajo;6;113012;113012;587,0601537
1025;3;2;10250302;5;1;13;13,15;15;0;1;1;23;B+;Montevideo Bajo;6;113012;113012;587,0601537
1025;4;1;10250401;1;5;7,45;8;15;0;1;1;23;B+;Montevideo Bajo;10;113012;113252;587,0601537
1025;4;2;10250402;5;1;12;12,15;15;0;1;1;23;B+;Montevideo Bajo;10;113252;113012;587,0601537
1026;1;1;10260101;1;6;10;10,03;3;0;1;3;41;M;Montevideo Medio;2;120009;120020;533,3092158
1026;1;2;10260102;6;1;10,45;10,5;5;0;1;3;41;M;Montevideo Medio;2;120020;120009;533,3092158
1028;1;1;10280101;2;2;11;14;180;8;1;3;43;M;Montevideo Bajo; ; ;122033;538,1559885
1028;1;2;10280102;2;13;18;18,2;20;8;1;4;43;M;Montevideo Bajo; ;122033;114207;538,1559885
1028;1;3;10280103;13;1;19,3;20;30;8;1;4;43;M;Montevideo Bajo; ;114207;113012;538,1559885
1028;2;1;10280201;1;2;12,3;13,5;80;13;3;1;43;M;Montevideo Bajo; ;113012;106204;538,1559885
1028;2;2;10280202;2;1;21;22,2;80;13;2;1;43;M;Montevideo Bajo; ;106204;113012;538,1559885
1028;3;1;10280301;1;2;12;13,4;100;13;3;1;43;M;Montevideo Bajo; ;113012;118208;538,1559885
1028;3;2;10280302;2;1;18,3;20;90;13;3;1;43;M;Montevideo Bajo; ;118208;113012;538,1559885
1028;4;1;10280401;1;5;11,3;13;90;13;2;1;43;M;Montevideo Bajo; ;113012;112031;538,1559885
1028;4;2;10280402;5;1;19;20,3;90;13;2;1;43;M;Montevideo Bajo; ;112031;113012;538,1559885
1029;1;1;10290101;1;4;9;11;120;13;3;5;19;B-;Montevideo Bajo;9;113022;123003;467,8040856
1029;1;2;10290102;4;4;11;11,3;30;13;2;5;19;B-;Montevideo Bajo;9;123003;112015;467,8040856
1029;1;3;10290103;4;1;13;13,4;40;13;1;5;19;B-;Montevideo Bajo; ;112015;113022;467,8040856
1029;1;4;10290104;1;13;15,3;15,35;5;0;1;3;19;B-;Montevideo Bajo;4;113022;113152;467,8040856
1029;1;5;10290105;13;1;19;19,1;10;0;1;3;19;B-;Montevideo Bajo;4;113152;113022;467,8040856
1029;2;1;10290201;1;13;16;16,15;15;0;1;2;19;B-;Montevideo Bajo;7;113022;113014;467,8040856
1029;2;2;10290202;13;1;20,35;20,45;10;7;1;2;19;B-;Montevideo Bajo; ;113014;113022;467,8040856
1030;1;1;10300101;1;8;9,3;9,45;15;0;1;1;32;M-;Montevideo Bajo;10;113051;113048;389,5893968
1030;1;2;10300102;8;13;10;10,05;5;0;1;2;32;M-;Montevideo Bajo;6;113048;113050;389,5893968
1030;1;3;10300103;13;15;12,1;12,15;5;0;1;2;32;M-;Montevideo Bajo;3;113050;113050;389,5893968
1030;1;4;10300104;15;13;16,05;16,1;5;0;1;2;32;M-;Montevideo Bajo;3;113050;113048;389,5893968
1030;1;5;10300105;13;1;18,15;18,2;5;0;1;1;32;M-;Montevideo Bajo;4;113048;113051;389,5893968
1030;1;6;10300106;1;13;19;19,1;10;0;1;1;32;M-;Montevideo Bajo;4;113051;113048;389,5893968
1030;1;7;10300107;13;1;23,3;23,35;5;0;1;1;32;M-;Montevideo Bajo;4;113048;113051;389,5893968
1031;1;1;10310101;1;2;6,3;7,1;40;13;3;1;32;M-;Zona III - Cuenca Cerro Norte Bajo;6;113236;116005;199,8257884
1031;1;2;10310102;2;6;15,3;16,13;43;13;3;4;32;M-;Zona III - Cuenca Cerro Norte Bajo;6;116005;107303;199,8257884
1031;1;3;10310103;6;1;17,45;19;75;13;2;4;32;M-;Zona III - Cuenca Cerro Norte Bajo;5;107303;113236;199,8257884
1032;1;1;10320101;1;16;5,3;6,25;55;13;2;1;23;B+;Montevideo Bajo;5;113051;105201;627,1948052
1032;1;2;10320102;16;1;18,1;19,4;90;13;2;1;23;B+;Montevideo Bajo; ;105201;113051;627,1948052
1032;2;1;10320201;1;3;8;9;60;13;2;4;23;B+;Montevideo Bajo; ;113051;119102;627,1948052
1032;2;2;10320202;3;1;11,2;12,3;70;13;2;4;23;B+;Montevideo Bajo; ;119102;113051;627,1948052
1032;5;1;10320501;1;8;10,3;11,3;60;13;2;5;23;B+;Montevideo Bajo; ;113051;102001;627,1948052
1032;5;2;10320502;8;1;12;13,15;75;13;2;5;23;B+;Montevideo Bajo; ;102001;113051;627,1948052
1032;6;1;10320601;1;13;14;14,2;20;13;1;3;23;B+;Montevideo Bajo; ;113051;113023;627,1948052
1032;6;2;10320602;13;1;15,4;18;140;13;1;3;23;B+;Montevideo Bajo; ;113023;113051;627,1948052
1032;7;1;10320701;1;5;7;7,2;20;0;1;1;23;B+;Montevideo Bajo;8;113051;113012;627,1948052
1032;7;2;10320702;5;1;12,15;12,25;10;0;1;1;23;B+;Montevideo Bajo;8;113012;113051;627,1948052
1032;8;1;10320801;1;13;15;15,1;10;9;1;1;23;B+;Montevideo Bajo; ;113051;113016;627,1948052
1032;8;2;10320802;13;1;18,4;18,45;5;7;1;1;23;B+;Montevideo Bajo; ;113016;113051;627,1948052
1033;1;1;10330101;1;6;9,3;9,35;5;0;1;3;49;M+;Montevideo Medio;1;113022;113021;484,8265598
1033;1;2;10330102;6;1;9,55;10;5;0;1;3;49;M+;Montevideo Medio;1;113021;113022;484,8265598
1033;1;3;10330103;1;15;14;14,05;5;0;1;2;49;M+;Montevideo Medio;2;113022;113022;484,8265598
1033;1;4;10330104;15;1;18,3;18,35;5;0;1;2;49;M+;Montevideo Medio;2;113022;113022;484,8265598
1035;1;1;10350101;1;2;8,3;9,3;60;13;1;1;29;B+;Zona III - Cuenca Cerro Norte NoBajo; ;116018;101205;119,7925354
1035;1;2;10350102;2;1;19;19,4;40;13;1;1;29;B+;Zona III - Cuenca Cerro Norte NoBajo; ;101205;116018;119,7925354
1035;2;1;10350201;1;2;8,3;9,3;60;13;1;1;29;B+;Zona III - Cuenca Cerro Norte NoBajo; ;116018;101205;119,7925354
1035;2;2;10350202;2;11;12,45;13;15;0;1;1;29;B+;Zona III - Cuenca Cerro Norte NoBajo;7;101205;106203;119,7925354
