NFORM;C1;C2;C3;C4;C5;D1A;D1B;D1C;D1D;D1E;D1ECAN;D1F;D1FCAN;D1G;D1GCAN;D2AT;D2AP;D2BT;D2BP;D2CT;D2CP;D2DT;D2DP;D2ET;D2EP;D2FT;D2FP;D3;D4;D5;d5a;D7;D10;G2;G3A;G3B;G4A;G4B;G5A;G5B;G6A;G6B;G6C;G7A;G7N;G7B;G7O;G7C;G7P;G7D;G7Q;G7E;G7R;G7F;G7S;G7G;G7T;G7H;G7U;G7I;G7V;G7J;G7W;G7K;G7X;G7L;G7Y;G7M;G7Z;G8A_X;G8B_X;G9A_X;G9B_X;G10A_X;G10B_X;G10C_X;G11;G12A_X;G12B_X;INSE;INSE_RecF;EstratoGeografico;wcal0;codseghogar;codloc;codseg
1043;3;2;2;1;1;2;1;1;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1;2;1;1;2;1; ;151; ;3;1;4;4; ;4; ;2; ;2; ;2; ;3; ;4; ;3; ;2; ;3; ;4; ;3; ;3; ;1;99;1;99;99;99; ;4;1;99;48;M+;Montevideo Medio;697,2748995;121130;1020;121130
1044;1;1;1;1;1;2;2;2;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;4;1;2;1;1;1;2;3;149;1M1;2;1;8;3;4;4;4;3;5;1;2;2;9;4;9;2;5;4;4;2;4;4;4;4;4;4;4;4;4;9;99;9;99;11;99; ;4;3;99;30;M-;Montevideo Bajo;438,6951891;121222;1020;121222
1045;1;1;2;1;2;2;1;1;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2;1;1;1;2;3; ;522; ;1;2;6;4; ;4; ;4; ;4; ;4; ;3; ;2; ;3; ;3; ;3; ;3; ;3; ;3; ;12; ;12; ;11; ; ;4;1; ;62;A+;Montevideo Medio Alto;522,2473522;121125;1020;121125
1046;1;1;2;1;2;1;1;1;1;1;1;2; ;1;1;1;1;9;9; ; ; ; ; ; ; ; ;1;3;2;2;1;1;6;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;3;99;4;9;25;53;A-;Zona III - Cuenca Cerro Norte Bajo;191,2008522;113236;1020;113236
1047;1;1;2;1;9;1;2;2;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1;2;1;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;99;4;1;99; ; ;Zona III - Cuenca Cerro Norte NoBajo;82,6768922;116016;1020;116016
1048;2;1;2;1;1;1;2;2;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;1;1;2;2; ;151; ;1;6;5;2; ;2; ;2; ;4; ;4; ;3; ;3; ;4; ;2; ;3; ;4; ;3; ;3; ;12;99;12;99;99;99; ;4;1;8;47;M+;Montevideo Medio Bajo;603,6410271;121129;1020;121129
1049;1;1;1;1;1;2;2;2;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1;1;1;1;2;3; ;137; ;10;2;1;4; ;4; ;4; ;1; ;4; ;4; ;4; ;4; ;4; ;4; ;4; ;3; ;3; ;2; ;2; ;5; ; ;4;1; ;22;B+;Zona III - Cuenca Cerro Norte NoBajo;75,16081109;113037;1020;113037
1050;1;1;1;1;1;2;2;2;1;1;1;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;6;1;3;1;1;2;3; ;524; ;1;6;4;2; ;3; ;3; ;2; ;3; ;4; ;4; ;4; ;3; ;4; ;2; ;3; ;3; ;3;99;3;99;11;99; ;4;1;99;21;B-;Zona III - Cuenca Cerro Norte Bajo;164,3610816;116213;1020;116213
1052;1;1;2;1;1;2;1;1;1;2; ;2; ;1;1;1;1;9;9; ; ; ; ; ; ; ; ;1;2;2;2;1;1;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;99;99;4;15;2;49;M+;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras;337,2987977;337526;3525;337526
1053;1;1;2;1;1;1;1;1;1;1;1;1;2;1;2;1;1;1;1;2;1;2;1;9;9; ; ;1;1;3;3;1;3;2;1;1;2;2;105;222;2;7;5;4;4;4;3;4;4;4;3;4;3;3;3;4;3;3;3;4;4;4;4;4;4;4;4;1;4;1;99;3;99;2;5;99;3;7;99;47;M+;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras;361,3165711;337125;3722;337125
1054;1;1;2;1;1;1;2;2;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1;2;4;2;1; ;2; ;221;4;10;9; ;5; ;3; ;3; ;2; ;4; ;4; ;4; ;4; ;3; ;2; ;1; ;3; ;2;6;99;6;99;5;99;99;4;1;9;49;M+;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras;337,2987977;337125;3722;337125
1055;1;2;1;1;3;1;1;1;1;1;3;2; ;1;2;1;1;1;1;9;9; ; ; ; ; ; ;1;2;5;5;1;1;2;2;1; ;3; ;D10;2;7;6; ;5; ;4; ;4; ;4; ;4; ;4; ;4; ;3; ;5; ;4; ;4; ;5; ;3;4;4;4;99;9;9;9;4;1;25;46;M+;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras;498,0819909;337125;3722;337125
1056;1;1;1;1;1;1;1;1;1;1;1;2; ;1;1;1;1;9;9; ; ; ; ; ; ; ; ;1;2;2;2;1;2;1;1;2;3; ;64; ;4;8;7;4; ;4; ;3; ;3; ;4; ;5; ;5; ;4; ;2; ;4; ;1; ;4; ;3; ;1;99;3;99;5;99; ;1;3;10;53;A-;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras;307,0580075;337125;3722;337125
1058;1;1;2;1;2;2;1;1;1;1;1;2; ;1;2;1;1;1;1;9;9; ; ; ; ; ; ;1;2;3;3;1;1;2;2;1; ;3; ;D10;2;6;3; ;2; ;2; ;3; ;3; ;3; ;4; ;2; ;3; ;2; ;2; ;2; ;2; ;1;1;99;1;99;1;9;99;4;19;99;53;A-;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras;328,9224484;337526;3525;337526
1060;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;9;9; ; ; ; ; ; ;1;1;3;3;1;2;2;2;1; ;3; ;221;8;6;5; ;4; ;3; ;4; ;2; ;3; ;4; ;3; ;1; ;2; ;4; ;4; ;4; ;1;4;99;1;4;4;99; ;2;10;6;45;M+;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras;346,5458515;337329;3727;337329
