NFORM;nnper;nvj;netp;IDPERVE;BL;EB0P1;EB0P2;EB1P1;EB1P2;EB1P3;EB1P4;EB1P5;EB1P6;EB1P7;EB2P1;EB6P1;EB3P1;EB4P1;EB4P2;EB4P3;EB5BP1L;EB5BP4;EB5P5;INSE;INSE_RecF;EstratoGeografico;wcal0;codsegparadasube;codsegparadabaja
1016;2;1;2;1016020102;51;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ;147;1;3;37;M;Montevideo Medio Bajo;557,1963595;109056;121104
1016;2;2;1;1016020201;51;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ;L29;5;3;37;M;Montevideo Medio Bajo;557,1963595;121104;109056
1016;2;2;2;1016020202;51;0;3; ; ; ; ; ; ; ; ; ; ; ; ; ;174;5;3;37;M;Montevideo Medio Bajo;557,1963595;109056;109008
1016;3;1;1;1016030101;51;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ;329;3;8;37;M;Montevideo Medio Bajo;557,1963595;109008;124005
1016;3;2;1;1016030201;51;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ;329;10;8;37;M;Montevideo Medio Bajo;557,1963595;124108;109010
1016;4;1;1;1016040101;51;3;0; ; ; ; ; ; ; ; ; ; ; ; ; ;174;10;3;37;M;Montevideo Medio Bajo;557,1963595;109008;121106
1016;4;1;2;1016040102;51;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ;405;10;3;37;M;Montevideo Medio Bajo;557,1963595;121106;111238
1016;4;1;3;1016040103;2; ; ; ; ; ; ; ; ; ;5;99; ; ; ; ; ; ; ;37;M;Montevideo Medio Bajo;557,1963595; ; 
1017;1;1;1;1017010101;3; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;32;M-;Montevideo Medio;532,7551575; ; 
1017;1;2;1;1017010201;3; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;32;M-;Montevideo Medio;532,7551575; ; 
1017;2;1;1;1017020101;2; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ;32;M-;Montevideo Medio;532,7551575; ; 
1017;2;2;1;1017020201;2; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ;32;M-;Montevideo Medio;532,7551575; ; 
1017;2;3;1;1017020301;51;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;526;10;1;32;M-;Montevideo Medio;532,7551575;109022;112227
1017;2;4;1;1017020401;51;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ;526;5;1;32;M-;Montevideo Medio;532,7551575;112125;109023
1017;3;1;1;1017030101;2; ; ; ; ; ; ; ; ; ;7;5; ; ; ; ; ; ; ;32;M-;Montevideo Medio;532,7551575; ; 
1017;3;2;1;1017030201;53;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;32;M-;Montevideo Medio;532,7551575; ; 
1019;1;1;1;1019010101;51;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;4A;10;14;51;A-;Montevideo Medio;583,0560333;109022;106104
1019;1;2;1;1019010201;51;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ;149;10;1;51;A-;Montevideo Medio;583,0560333;106102;115013
1019;1;3;1;1019010301;51;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;522;10;1;51;A-;Montevideo Medio;583,0560333;115114;106202
