NFORM;nnper;IDPER;SEXO;EDAD;PARENTESCO;E3;E4;E4A;E5;E6;E7;E7OB;E8;E9;E10;E11;E12;E14;E15;E16;E17;E19;E20;E200B;Form_Op_Hab;codsegtrabprinc;codsegpresentrab;codsegcomenzodia;INSE;INSE_RecF;EstratoGeografico;wcal0
1016;4;101604;1;36;6;2;2; ;6;1;3; ;2;1;1; ; ; ;1;5;1;1; ; ;0; ; ; ;37;M;Montevideo Medio Bajo;557,1963595
1017;1;101701;1;29;1;2;3; ;5;2;3; ;1; ; ;44;2; ;3; ;1;1; ; ;0;109008; ; ;32;M-;Montevideo Medio;532,7551575
1017;2;101702;2;24;2;1;5; ;1;2;3; ;2;1;2; ; ; ;3; ;1;1; ; ;1; ; ; ;32;M-;Montevideo Medio;532,7551575
1017;3;101703;1;7;5;1;2; ;1;2;3; ; ; ; ; ; ; ; ; ;1;1; ; ;0; ; ; ;32;M-;Montevideo Medio;532,7551575
1017;4;101704;2;6;6;1;1; ;1;2;3; ; ; ; ; ; ; ; ; ;3;2;11;LA MAESTRA NO ESTÁ YENDO;0; ; ;109022;32;M-;Montevideo Medio;532,7551575
1017;5;101705;1;0;3;3; ; ; ; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ;32;M-;Montevideo Medio;532,7551575
1018;1;101801;2;93;1;2;2; ;6;1;3; ;2;1;4; ; ; ;3; ;1;2;1; ;1; ; ; ;45;M+;Montevideo Medio;322,2603081
1019;1;101901;2;55;1;2;3; ;6;1;3; ;1; ; ;50;2; ;1; ;1;1; ; ;1;106202; ; ;51;A-;Montevideo Medio;583,0560333
1020;1;102001;2;80;1;2;3; ;2;2;1; ;2;1;4; ; ; ;3; ;1;2;10; ;1; ; ; ;47;M+;Montevideo Medio;322,2603081
1021;1;102101;1;70;1;2;2; ;6;1;1; ;2;1;4; ; ; ;3; ;1;1; ; ;1; ; ; ;51;A-;Montevideo Medio;267,57973
1021;2;102102;2;70;2;2;2; ;6;1;1; ;2;1;4; ; ; ;3; ;1;2;1; ;0; ; ; ;51;A-;Montevideo Medio;267,57973
1022;1;102201;1;62;1;2;6; ;6;1;3; ;2;1;4; ; ; ;1;5;1;1; ; ;1; ; ; ;60;A+;Montevideo Medio;379,1642397
1023;1;102301;2;46;1;2;3; ;5;2;3; ;1; ; ;25;5;2;3; ;1;1; ; ;1; ; ; ;29;B+;Zona III - Cuenca Cerro Norte NoBajo;110,9888526
1023;2;102302;2;17;4;1;3; ;4;2;3; ;2;1;2; ; ; ; ; ;1;1; ; ;0; ; ; ;29;B+;Zona III - Cuenca Cerro Norte NoBajo;110,9888526
1024;1;102401;1;50;1;2;3; ;4;2;3; ;1; ; ;40;2; ;1;3;1;1; ; ;0;120019; ; ;57;A-;Montevideo Medio;600,8422525
1024;2;102402;2;47;2;2;4;3;3;1;3; ;1; ; ;30;5;2;1;3;1;1; ; ;1; ; ; ;57;A-;Montevideo Medio;600,8422525
1024;3;102403;1;25;6;2;3; ;1;2;1; ;1; ; ;36;2; ;1;5;2;1; ; ;0;122123; ;122123;57;A-;Montevideo Medio;600,8422525
1024;4;102404;2;24;3;2;4;2;3;1;3; ;1; ; ;30;1; ;1;3;1;1; ; ;0; ; ; ;57;A-;Montevideo Medio;600,8422525
1025;1;102501;1;35;1;2;2; ;6;1;3; ;1; ; ;56;2; ;3; ;1;1; ; ;1;106104; ; ;23;B+;Montevideo Bajo;587,0601537
1025;2;102502;2;29;2;2;3; ;1;2;3; ;2;1;3; ; ; ;3; ;1;1; ; ;0; ; ; ;23;B+;Montevideo Bajo;587,0601537
1025;3;102503;1;13;5;1;3; ;1;2;3; ; ; ; ; ; ; ; ; ;1;1; ; ;0; ; ; ;23;B+;Montevideo Bajo;587,0601537
1025;4;102504;2;5;3;1;1; ;1;2;3; ; ; ; ; ; ; ; ; ;1;1; ; ;0; ; ; ;23;B+;Montevideo Bajo;587,0601537
1025;5;102505;1;0;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ;23;B+;Montevideo Bajo;587,0601537
1026;1;102601;2;80;1;2;2; ;6;1;3; ;2;1;4; ; ; ;1; ;1;1; ; ;1; ; ; ;41;M;Montevideo Medio;533,3092158
1027;1;102701;1;78;1;2;2; ;6;1;3; ;2;1;4; ; ; ;3; ;1;2;10; ;1; ; ; ;43;M;Zona III - Cuenca Cerro Norte Bajo;106,2828382
1028;1;102801;1;49;1;2;3; ;6;1;3; ;1; ; ;48;3;2;1;5;2;1; ; ;1; ; ; ;43;M;Montevideo Bajo;538,1559885
1028;2;102802;2;49;2;2;3; ;5;2;3; ;1; ; ;35;2; ;1;5;1;1; ; ;0;106204; ; ;43;M;Montevideo Bajo;538,1559885
1028;3;102803;2;23;3;2;3; ;5;2;3; ;1; ; ;21;2; ;3;1;1;1; ; ;0;118208; ; ;43;M;Montevideo Bajo;538,1559885
